原ZIP資料夾,辨識課程名稱,目前115-2課程是否可對應,教師,文字心得,照片數,原ZIP影片數,辨識依據
1150727 已PO 長笛,欣樂‧長笛研修,是,葉旻欣,有,12,0,心得文件標題/內容、教師姓名與資料夾關鍵字交叉辨識
1150728 已PO 吉他班,吉他演奏,是,孫家偉老,有,8,0,心得文件標題/內容、教師姓名與資料夾關鍵字交叉辨識
1150729 已PO 佛朗明哥,佛朗明哥音樂舞蹈與文化,是,李律,有,7,0,心得文件標題/內容、教師姓名與資料夾關鍵字交叉辨識
1150729 已PO 花藝,花藝人才養成班,是,林淑媛,有,13,0,心得文件標題/內容、教師姓名與資料夾關鍵字交叉辨識
1150729 已PO成人芭蕾,成人美姿芭蕾,是,高慧淳,無（影像紀錄）,7,0,心得文件標題/內容、教師姓名與資料夾關鍵字交叉辨識
1150730 已PO 藍染,日本藍染文化與基礎技法,是,駱美湘,有,5,0,心得文件標題/內容、教師姓名與資料夾關鍵字交叉辨識
1150730 已PO非洲鼓,鼓動人生 非洲鼓,是,蔡永煥,無（影像紀錄）,12,3,心得文件標題/內容、教師姓名與資料夾關鍵字交叉辨識
1150731 已PO龍韻口琴B班,龍韻口琴獨奏B班,是,張宇樞,有,7,0,心得文件標題/內容、教師姓名與資料夾關鍵字交叉辨識
1150731 已po 歌唱潛能開發,歌唱潛能開發,是,陳則豪,有,5,0,心得文件標題/內容、教師姓名與資料夾關鍵字交叉辨識
1150731已po 西班牙語,拉丁美洲的文化認識與進階西班牙語,是,瓦爾德,無（影像紀錄）,7,0,心得文件標題/內容、教師姓名與資料夾關鍵字交叉辨識
1150801 已PO 口琴 合奏班,龍韻口琴樂團合奏班,是,張宇樞,有,11,0,心得文件標題/內容、教師姓名與資料夾關鍵字交叉辨識
1150802 PO 週四 太鼓,鼓動生命和太鼓,是,程錦玲,有,8,0,心得文件標題/內容、教師姓名與資料夾關鍵字交叉辨識
1150803 以PO 咖啡,喝懂咖啡風味,是,楊焌賢,有,9,0,心得文件標題/內容、教師姓名與資料夾關鍵字交叉辨識
1150803已PO單車小旅行,單車樂活小旅行 (埤塘與濕地),是,李立忠,無（影像紀錄）,9,0,心得文件標題/內容、教師姓名與資料夾關鍵字交叉辨識
1150804 已PO 踢踏舞,Clogging 美式民族休閒踢踏,是,洪媺娥,有,12,1,心得文件標題/內容、教師姓名與資料夾關鍵字交叉辨識
1150804 已PO龍韻口琴A班,龍韻口琴獨奏A班,是,張宇樞,有,11,0,心得文件標題/內容、教師姓名與資料夾關鍵字交叉辨識
1150805 已PO週三　鄭永欣,合氣道加強核心肌群防身術,是,鄭永欣,無（影像紀錄）,7,1,心得文件標題/內容、教師姓名與資料夾關鍵字交叉辨識
1150806 已PO週四丁郁芬時尚魅力肚皮舞,纖腰翹臀時尚魅力塑身肚皮舞(初階),是,丁郁芬,有,11,0,心得文件標題/內容、教師姓名與資料夾關鍵字交叉辨識
1150807 已PO 歌唱學日文,唱歌學日文,是,阮上源,無（影像紀錄）,5,0,心得文件標題/內容、教師姓名與資料夾關鍵字交叉辨識
1150808 以PO 金工,手作 美學.琺瑯與金工藝術,是,簡世杰,有,14,0,心得文件標題/內容、教師姓名與資料夾關鍵字交叉辨識
1150808 已PO 錫口笛,八弦六孔 -- 當曼陀林遇上錫口笛,是,林世唐,無（影像紀錄）,6,0,心得文件標題/內容、教師姓名與資料夾關鍵字交叉辨識
1150809 已PO薩克斯風班,快樂學習薩克斯風,是,林建甫,有,7,0,心得文件標題/內容、教師姓名與資料夾關鍵字交叉辨識
1150812 已PO國畫,傳統國畫山水與創作,是,蔡玉雲,有,3,2,心得文件標題/內容、教師姓名與資料夾關鍵字交叉辨識
